編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPOOMLMKNHPFFAT76CA,麟忠段,20.78,非都市：一般農業區 ; 非都市編定：交通用地
RPOOMLMKNHPFFAT76CA,麟忠段,9.05,非都市：一般農業區 ; 非都市編定：交通用地
RPOOMLMKNHPFFAT76CA,麟忠段,692.20,非都市：一般農業區 ; 非都市編定：農牧用地
RPOOMLMKNHPFFAT76CA,麟忠段,512.96,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKNHPFFAT86CA,九清段,1530.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLOKNHPFFAT96CA,新鐘段,111.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLOKNHPFFAT96CA,新鐘段,22.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOKNHPFFAT17CA,新鐘段,126.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLOKNHPFFAT07CA,新鐘段,134.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLSKNHPFFAT87CA,水泉段,358.23,都市：住
RPOPMLTKNHPFFAT57CA,正安段,3612.31,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLOKNHPFFAT27CA,新鐘段,122.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNKNHPFFAT17CA,新鐘段,119.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLNKNHPFFAT17CA,新鐘段,22.78,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLNKNHPFFAT37CA,斯文段,78.00,都市：住
RPUNMLNKNHPFFAT37CA,斯文段,133.00,都市：住
RPUNMLNKNHPFFAT37CA,斯文段,191.00,都市：住
RPRNMLMKNHPFFBT07CA,載興段,34.92,非都市：一般農業區 ; 非都市編定：農牧用地
RPVNMLTLNHPFFAT18CA,榮華段,1109.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSOMLSKNHPFFBT87CA,振北段,384.98,非都市：一般農業區 ; 非都市編定：水利用地
RPSNMLMKNHPFFBT17CA,洛陽段,234.22,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLSLNHPFFAT77CA,惠農段,69.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPSNMLSLNHPFFAT77CA,惠農段,69.28,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLLLNHPFFBT47CA,阿拔泉段,250.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLLLNHPFFBT47CA,阿拔泉段,140.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLTLNHPFFBT67CA,彭新段,2877.70,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLMKNHPFFCT27CA,新埤段,671.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLMKNHPFFCT27CA,新埤段,73.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLMKNHPFFCT27CA,新埤段,1152.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPSNMLOKNHPFFCT47CA,古樓段,3022.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLPKNHPFFCT47CA,佳山段,320.22,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTOMLLLNHPFFCT47CA,新埔段,3094.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPNMLQJOHPFFCT37CA,新東段,3.18,都市：農
RPPNMLQJOHPFFCT37CA,新東段,46.83,都市：農
RPPNMLQJOHPFFCT37CA,新東段,575.97,都市：農
RPWNMLLLNHPFFCT67CA,大新段,14.21,都市：住
RPWNMLLLNHPFFCT67CA,大新段,88.22,都市：住
RPWNMLLLNHPFFCT67CA,大新段,7.04,都市：其他
RPTNMLNKNHPFFCT47CA,三星段,25.08,都市：其他
RPSNMLNKNHPFFCT37CA,建基段,23.60,都市：住
RPSNMLMKNHPFFDT37CA,大東段一小段,82.78,都市：住
RPQOMLSKNHPFFCT77CA,榮田段,13.72,都市：住
RPQOMLSKNHPFFCT77CA,榮田段,38.25,都市：住
RPQNMLNKNHPFFDT27CA,大東段一小段,89.60,都市：住
RPTNMLMKNHPFFDT47CA,興厝段,1.98,非都市：一般農業區 ; 非都市編定：農牧用地
RPTNMLMKNHPFFDT47CA,興厝段,1074.95,都市：農
RPTNMLMKNHPFFDT47CA,興厝段,91.45,都市：農
RPRNMLMKNHPFFDT27CA,盛海段,81.68,都市：住
RPTNMLNLNHPFFET77CA,射麻裡段,2170.33,非都市：國家公園區 ; 非都市編定：
RPTNMLNLNHPFFET77CA,射麻裡段,261.33,非都市：國家公園區 ; 非都市編定：
RPVNMLNKNHPFFDT77CA,上烏龍段,982.41,都市：農
RPVNMLNKNHPFFDT77CA,上烏龍段,49.77,都市：農
RPQNMLLKNHPFFFT27CA,新地段,7115.23,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKNHPFFDT17CA,龍帝段,.38,都市：住
RPPNMLNKNHPFFDT17CA,龍帝段,7.53,都市：其他
RPPNMLNKNHPFFDT17CA,龍帝段,2.14,都市：住
RPPNMLNKNHPFFDT17CA,龍帝段,3.07,都市：其他
RPPNMLNKNHPFFDT17CA,龍帝段,3.86,都市：其他
RPPNMLNKNHPFFDT17CA,龍帝段,46.08,都市：住
RPPNMLNKNHPFFDT17CA,龍帝段,.44,都市：住
RPPNMLMKNHPFFFT27CA,六根段,73.02,都市：住
RPPNMLNKNHPFFFT37CA,佳和段,1122.18,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKNHPFFFT37CA,佳和段,1160.38,非都市：一般農業區 ; 非都市編定：農牧用地
RPPNMLNKNHPFFET27CA,德和段,1000.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPQNMLMKNHPFFDT27DA,下庄段,1109.13,非都市：一般農業區 ; 非都市編定：農牧用地
RPQNMLMKNHPFFET27CA,湖內段,3680.61,都市：農
RPXNMLQLNHPFFDT48DA,內庄段,70.49,非都市：一般農業區 ; 非都市編定：水利用地
RPQNMLRLNHPFFAT57DA,廣興段,278.03,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLPKNHPFFFT77CA,草埔段,46298.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQNMLPKNHPFFFT67CA,獅子段,11899.00,非都市：山坡地保育區 ; 非都市編定：林業用地
RPQNMLLJOHPFFET17CA,興安段,72.34,都市：住
RPQNMLPKNHPFFET57CA,阿可里央段,9999.98,非都市：森林區 ; 非都市編定：林業用地
RPSNMLMLNHPFFET57CA,大平頂段上大平頂小段,2500.00,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPRNMLPKNHPFFDT57CA,頂愛段,299.02,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPPNMLMLNHPFFFT37CA,六根段,35.06,都市：商
RPPNMLMLNHPFFFT37CA,六根段,88.06,都市：商
RPPNMLRKNHPFFDT57CA,新吉段,1167.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLNLNHPFFET57CA,僑勇段,169.77,都市：住
RPPNMLQLNHPFFET67CA,鵝鑾段,158.21,非都市：國家公園區 ; 非都市編定：
RPUOMLLLNHPFFCT57CA,萬和段,20.82,都市：農
RPOOMLNKNHPFFDT17CA,新利段,7.04,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNKNHPFFDT17CA,新利段,10.18,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNKNHPFFDT17CA,新利段,7.55,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNKNHPFFDT17CA,新利段,12.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNKNHPFFDT17CA,新利段,6.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNKNHPFFDT17CA,新利段,.93,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQNMLRKNHPFFDT67CA,新吉段,1918.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLKLNHPFFDT67CA,新生段,677.53,都市：農
RPVOMLLLNHPFFCT67CA,興美段,1925.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPVOMLLLNHPFFCT67CA,興美段,2625.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPRNMLKLNHPFFBT96CA,長榮段,570.00,都市：農
RPPNMLNKNHPFFBT96CA,鐵店段,7.23,都市：農
RPRNMLNKNHPFFBT17CA,潮北段,160.80,都市：住
RPRNMLOKNHPFFCT37CA,學人段,48.18,都市：住
RPRNMLOKNHPFFCT37CA,學人段,.25,都市：住
RPTNMLNKNHPFFBT37CA,潮北段,165.26,都市：住
RPRNMLKLNHPFFCT07CA,光明段,94.33,都市：住
RPPNMLPKNHPFFBT17CA,潮北段,144.79,都市：住
RPVNMLNJOHPFFAT47CA,九如段,547.92,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPVNMLNJOHPFFAT47CA,九如段,13.75,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLNJOHPFFAT86CA,九如段,180.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKNHPFFBT18CA,新高段,112.14,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPWNMLSKNHPFFBT18CA,新高段,21.07,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPRNMLOKNHPFFBT27CA,中和段,78.46,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPQOMLSJOHPFFAT57CA,九如段,2059.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPUNMLTJOHPFFAT97CA,明正段,63.00,都市：住
RPUNMLTJOHPFFAT97CA,明正段,7.00,都市：住
RPVNMLTKNHPFFAT08CA,華榮段,272.00,非都市：一般農業區 ; 非都市編定：農牧用地
RPPOMLSKNHPFFBT57CA,過江段,114.84,都市：住
RPTPMLOKNHPFFAT57CA,九如段,489.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPWNMLTKNHPFFAT18CA,檳榔腳段二小段,32.66,都市：住
RPOPMLPKNHPFFAT17CA,繁華段,173.40,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTOMLNKNHPFFAT37CA,麟孝段,89.22,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTOMLNKNHPFFAT37CA,麟孝段,8.24,非都市：一般農業區 ; 非都市編定：甲種建築用地
RPTNMLNKNHPFFAT27CA,勝興段,97.00,都市：住
RPTOMLPKNHPFFAT57CA,花園段,56.00,都市：住
RPXOMLMKNHPFFAT67CA,檳榔腳段一小段,6.39,都市：住
RPXOMLMKNHPFFAT67CA,檳榔腳段一小段,14.02,都市：住
RPXOMLMKNHPFFAT67CA,檳榔腳段一小段,.39,都市：住
RPWOMLMKNHPFFAT57CA,北勢段,11.25,都市：住
RPWOMLMKNHPFFAT57CA,北勢段,15.15,都市：住
