編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPRNMLMKNHPFFAW27CA,沙港劃段,1000.01,都市：農
RPVNMLLKNHPFFAW67DA,后沙劃測段,155.64,都市：其他
RPSNMLSKNHPFFAW97CA,寧安二劃段,494.17,都市：農
RPSNMLSKNHPFFAW97CA,寧安二劃段,145.83,都市：其他
RPPNMLTKNHPFFAW77CA,青山段,970.86,都市：農
RPTNMLOKNHPFFAW67CA,寧湖一劃段,375.00,都市：農
RPSNMLMKNHPFFAW37CA,寧劃段,461.41,都市：農
RPSNMLMKNHPFFAW37CA,寧劃段,28.61,都市：其他
RPPNMLOKNHPFFAW27CA,寧湖一劃段,404.56,都市：其他
RPSNMLOKNHPFFAW57CA,北二三劃測段,107.03,都市：住
RPRNMLPKNHPFFAW57CA,歐厝段,368.18,都市：其他
RPRNMLPKNHPFFAW57CA,歐厝段,422.01,都市：其他
RPRNMLNKNHPFFAW37CA,夏興段,19.16,都市：住
RPTNMLSKNHPFFAW08CA,祥瑞段,29.96,都市：住
RPPNMLPKNHPFFAW47DA,新市段,577.46,都市：農
RPPNMLPKNHPFFAW47DA,新市段,179.00,都市：其他
RPPNMLPJOHPFFAW37CA,湖前段,183.74,都市：住
RPPNMLSKNHPFFAW67CA,汶沙測段,84.48,都市：其他
RPXNMLPKNHPFFAW18CA,北二三劃測段,11.10,都市：其他
RPTNMLPLNHPFFAW87CA,山外段,120.00,都市：其他
RPRNMLLLNHPFFAW27CA,塔后段,83.30,都市：其他
RPPNMLPLNHPFFAW47CA,新市段,18.06,都市：商
RPPNMLPLNHPFFAW47CA,新市段,18.06,都市：商
RPPNMLPLNHPFFAW47CA,新市段,.95,都市：其他
RPPNMLPLNHPFFAW47CA,新市段,.95,都市：其他
RPRNMLTKNHPFFAW97CA,市港段,17.23,都市：住
RPQNMLPLNHPFFAW57CA,沙東劃段,100.94,都市：其他
RPQNMLPLNHPFFAW57CA,沙東劃段,100.94,都市：其他
