編號,土地區段位置,土地移轉面積平方公尺,使用分區或編定
The serial number,land sector position,land shifting area square meter,the use zoning or compiles and checks
RPUNMLOKNHPFFAG78CA,內城段,850.75,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPTNMLOKNHPFFAG68CA,內城段,850.74,非都市：山坡地保育區 ; 非都市編定：農牧用地
RPUPMLLKNHPFFAG68CA,中福段,1068.00,都市：工
RPUPMLLKNHPFFAG68CA,中福段,1952.00,都市：工
RPPOMLOKNHPFFAG38CA,山明段,47.08,都市：住
RPWPMLMKNHPFFAG98CA,蘇港段,3.15,都市：商
RPWPMLMKNHPFFAG98CA,蘇港段,.02,都市：商
RPOOMLLKNHPFFAG97CA,中里段,104.56,都市：住
RPOOMLLKNHPFFAG97CA,中里段,6.77,都市：住
RPOOMLLKNHPFFAG97CA,中里段,1.40,都市：住
RPOOMLLKNHPFFAG97CA,中里段,14.61,都市：其他
RPSNMLQKNHPFFAG78CA,隆昌段,18.22,都市：住
RPSNMLQKNHPFFAG78CA,隆昌段,87.83,都市：住
RPSNMLQKNHPFFAG78CA,隆昌段,4.20,都市：住
RPTNMLQKNHPFFAG88CA,隆昌段,21.74,都市：其他
RPTNMLQKNHPFFAG88CA,隆昌段,4.08,都市：住
RPTNMLQKNHPFFAG88CA,隆昌段,98.15,都市：住
RPTNMLQKNHPFFAG88CA,隆昌段,11.38,都市：其他
RPRPMLMKNHPFFAG48CA,羅莊段,17.97,都市：住
RPSOMLMKNHPFFAG48CA,鹿安一段,17.83,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPVNMLPKNHPFFAG98CA,新協富段,83.84,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWNMLPKNHPFFAG09CA,五結段,97.00,都市：住
RPWOMLTLNHPFFAG07CA,國民一段,35.85,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWOMLTLNHPFFAG07CA,國民一段,.59,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWOMLTLNHPFFAG07CA,國民一段,127.60,非都市：特定農業區 ; 非都市編定：甲種建築用地
RPWOMLTLNHPFFAG07CA,國民一段,1.70,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLMKNHPFFBG58CA,艮門一段,20.00,都市：住
RPXNMLLKNHPFFBG88CA,乾門二段,4.82,都市：商
RPXNMLLKNHPFFBG88CA,乾門二段,24.03,都市：商
RPXNMLLKNHPFFBG88CA,乾門二段,29.00,都市：商
RPUNMLQLNHPFFAG09CA,南昌段,.07,都市：住
RPUNMLQLNHPFFAG09CA,南昌段,5.68,都市：住
RPUNMLQLNHPFFAG09CA,南昌段,.39,都市：住
RPUNMLQLNHPFFAG09CA,南昌段,32.50,都市：住
RPUNMLQLNHPFFAG09CA,南昌段,1.64,都市：住
RPUOMLTLNHPFFAG86CA,內城段,218.39,非都市：風景區 ; 非都市編定：丙種建築用地
RPSNMLMKNHPFFBG68EA,珍子滿力段擺厘小段,19.32,都市：住
RPTOMLOKNHPFFBG88CA,艮門三段,91.66,都市：住
RPSOMLMJOHPFFBG58CA,民權段,589.00,非都市：特定農業區 ; 非都市編定：農牧用地
RPPPMLTLNHPFFBG56CA,五峰段,14.87,都市：住
RPPNMLOKNHPFFBG58EA,茭白段,113.61,都市：農
RPPNMLOKNHPFFBG58EA,茭白段,37.86,都市：農
RPXNMLSKNHPFFBG17EA,金古段,97.17,都市：住
RPXNMLSKNHPFFBG17EA,金古段,3.16,都市：住
RPXNMLSKNHPFFBG17EA,金古段,34.38,都市：住
RPRNMLSLNHPFFBG09CA,深福段,1612.21,非都市：特定農業區 ; 非都市編定：農牧用地
RPXNMLRLNHPFFBG96CA,延平段,6.76,都市：農
RPXNMLRLNHPFFBG96CA,延平段,106.00,都市：農
RPSOMLQLNHPFFBG09CA,尚好段,1038.30,非都市：特定農業區 ; 非都市編定：農牧用地
RPQNMLNKOHPFFBG48CA,開蘭一段,13.36,都市：其他
RPQNMLNKOHPFFBG48CA,開蘭一段,27.76,都市：住
RPROMLQLNHPFFBG98CA,新張段,147.00,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPOOMLKLOHPFFBG18CA,開蘭一段,13.03,都市：其他
RPOOMLKLOHPFFBG18CA,開蘭一段,27.76,都市：住
RPXNMLKLOHPFFBG98CA,開蘭一段,14.06,都市：其他
RPXNMLKLOHPFFBG98CA,開蘭一段,41.84,都市：住
RPOPMLOKNHPFFBG48CA,外員段,147.38,都市：住
RPWOMLMKNHPFFBG98CA,深惠段,2604.59,非都市：特定農業區 ; 非都市編定：農牧用地
RPSOMLOKNHPFFBG78CA,中興段,79.07,都市：住
RPSOMLOKNHPFFBG78CA,中興段,15.60,都市：住
RPWNMLOKNHPFFBG09CA,宜商段,13.79,都市：住
RPWNMLOKNHPFFBG09CA,宜商段,7.44,都市：住
RPXOMLOKNHPFFBG66CA,五峰段,8.88,都市：住
RPWOMLOKNHPFFBG56CA,女中段,38.69,都市：住
RPOOMLOKNHPFFBG38CA,復興段,2962.00,非都市：特定農業區 ; 非都市編定：農牧用地
TPQOMLOKNHPFFBG78CA,外大溪段,11.39,都市：其他
TPQOMLOKNHPFFBG78CA,外大溪段,36.45,都市：住
RPPOMLNKNHPFFBG38CA,金六結段六結小段,86.97,都市：住
SPQOMLOKNHPFFBG68CA,外大溪段,37.36,都市：住
SPQOMLOKNHPFFBG68CA,外大溪段,11.41,都市：其他
RPUOMLNKNHPFFBG88CA,女中段,23.15,都市：住
RPXNMLMKNHPFFBG98CA,慈安段,38.98,都市：住
RPXNMLMKNHPFFBG98CA,慈安段,1.48,都市：住
RPUNMLTJOHPFFAG66CA,新西安段,45.72,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLTJOHPFFAG66CA,新西安段,6.74,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPUNMLTJOHPFFAG66CA,新西安段,.44,非都市：鄉村區 ; 非都市編定：乙種建築用地
RPTNMLQLNHPFFAG98CA,中華段,86.45,都市：住
RPPNMLRLNHPFFAG68CA,東光段,114.00,都市：住
RPPNMLRLNHPFFAG68CA,東光段,21.00,都市：其他
RPSNMLRLNHPFFAG98CA,聖湖段,133.60,都市：住
RPQOMLOKNHPFFBG58CA,外大溪段,38.96,都市：住
RPQOMLOKNHPFFBG58CA,外大溪段,11.74,都市：其他
RPVNMLSLNHPFFAG76CA,聖湖段,24.19,都市：住
RPVNMLSLNHPFFAG76CA,聖湖段,112.76,都市：住
RPWNMLSLNHPFFAG86CA,聖湖段,48.84,都市：住
RPWNMLSLNHPFFAG86CA,聖湖段,126.11,都市：住
